Number,Class,Target,Radius_A,Radius_B,Za,Zb,TF,aO3,rc,A_ionic,B_ionic,R_a/R_b,Mass,A_aff,B_aff,A_Tm,B_Tm,A_Tb,B_Tb,A_Hfus,B_Hfus,A_Density,B_Density
46,0,-5.81,100,57,1,1.575,0.861449886,137.2383327,58.23947848,6.11316,6.406935,1.754385965,125.51,1.8,25.1,842,1165.16,1484,2903,213.1,347.75,1.54,3.605
47,0,-5.64,136,76.8,0.89,1.6,0.90019129,184.26425,78.75159952,5.2117,6.125376,1.770833333,290.308,14,33.84,727,835.56,1879,3006.8,51.8,109.24,3.62,6.994
48,0,-5.64,136,79.2,0.89,1.735,0.890335181,189.927655,79.93244794,5.2117,5.871114,1.717171717,297.202,14,30.21,727,326.34,1879,2305.7,51.8,48.76,3.62,7.231
49,0,-5.6,100,66.45,1,1.567,0.822018055,159.5234634,63.2396727,6.11316,6.74522,1.504890895,138.144,1.8,9.74,842,1505.9767,1484,3178.7,213.1,274.04,1.54,4.65
50,0,-5.48,98.47,120,1.126,1.81,0.6485529,285.7862115,102.0544235,5.583816,5.9993,0.820583333,251.508,42.48,29,1003.1,29.767,2915,2204,65.86,80,6.463,5.91
51,0,-5.47,100,69.425,1,1.5805,0.810340826,166.5391527,64.9545371,6.11316,6.70378,1.440403313,139.236,1.8,10.81,842,1423.96505,1484,3124.55,213.1,263.26,1.54,4.72
52,0,-5.3,100,61.075,1,1.5285,0.843991682,146.8480584,60.3090026,6.11316,6.869007,1.63733115,134.7815,1.8,5.27,842,1619,1484,3177.15,213.1,298.265,1.54,4.3715
53,1,-5.12,100,59.8,1,1.547,0.849377515,143.8413344,59.64691885,6.11316,6.743867,1.672240803,133.87,1.8,11.1,842,1569.032,1484,3210.2,213.1,306.03,1.54,4.329
54,1,-5.07,96.22,53.5,1.153,1.61,0.863218418,128.9480893,55.39570878,5.690556,5.98577,1.798504673,214.348,42.48,42.6,1050.8,660.32,1763,2519,72.88,399.9,6.922,2.7
55,1,-4.96,104.68,55.35,1.085,1.58,0.885666175,133.3913128,58.90984352,5.5887,6.151817,1.891237579,208.485,41.24,34.44,903.9,659.288,3255.8,2376.1,48.62,394.8,5.799,2.604
56,1,-4.95,136,76,0.89,1.555,0.903525332,182.3764483,78.36598477,5.2117,6.21013,1.789473684,288.01,14,35.05,727,1005.3,1879,3240.5,51.8,129.4,3.62,6.915
57,1,-4.93,98.47,86.75,1.126,1.71,0.743654924,207.3780806,75.88601844,5.583816,5.992535,1.135100865,230.138,42.48,35.8,1003.1,345.0435,2915,2361.5,65.86,239.95,6.463,4.305
58,1,-4.93,110.6,108,1.025,1.69,0.714519997,257.6309181,92.89082427,5.6359,6.15795,1.024074074,236.355,25,32.025,847.5,485.82525,2423,2755.25,64.7,117.55,4.395,6.0625
59,1,-4.93,110.6,103.2,1.025,1.642,0.728622366,246.3090939,89.32163813,5.6359,6.22141,1.071705426,238.505,25,33.235,847.5,668.24855,2423,2975.75,64.7,132.57,4.395,6.1235
60,1,-4.81,99,112.8,1.13,1.735,0.668506807,268.8142578,95.97929521,5.473,6.246341,0.877659574,251.8085,47,18.8,931,122.80195,3520,2036.9,48.9,120.335,6.77,5.2845
61,1,-4.79,98.47,115.2,1.126,1.76,0.660751388,274.4671429,97.97445993,5.583816,6.163994,0.854774306,246.967,42.48,22.2,1003.1,91.7903,2915,2092.6,65.86,106.89,6.463,5.493
62,1,-4.67,104.68,80,1.085,1.78,0.786431306,191.5268662,72.45338912,5.5887,5.78636,1.3085,295.972,41.24,29,903.9,156.6,3255.8,2072,48.62,28.6,5.799,7.31
63,1,-4.61,110.6,105.6,1.025,1.666,0.721502278,251.970006,91.09296554,5.6359,6.18968,1.047348485,237.43,25,32.63,847.5,577.0369,2423,2865.5,64.7,125.06,4.395,6.093
64,1,-4.44,104.68,113.35,1.085,1.79,0.682908574,270.1808503,96.62446498,5.5887,5.997947,0.923511248,247.218,41.24,30.36,903.9,92.8223,3255.8,2235.5,48.62,111.99,5.799,5.589
65,1,-4.37,104.68,74.5,1.085,1.36,0.806596211,178.5554446,69.0603075,5.5887,6.5615,1.405100671,226.732,41.24,18.1,903.9,1541,3255.8,2836,48.62,314,5.799,2.99
66,1,-4.14,99.1,53.5,1.117,1.61,0.873742798,128.9759969,56.28950769,5.537016,5.98577,1.852336449,205.798,42.48,42.6,922.1,660.32,3316.4,2519,65.32,399.9,6.247,2.7
